Group	Postcode	Suburb Name	State		Group	"Turn Around Time
(Business Days)"	Cut Off Time	Next Order Cut Off	Next Corresponding Delivery Day	Delivery Day	Delivery Frequency	Delivery Company 
ACT - Metro	2606	Lyons	ACT	LyonsACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2606	O'Malley	ACT	O'MalleyACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2606	Phillip	ACT	PhillipACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2606	Swinger Hill	ACT	Swinger HillACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2606	Woden	ACT	WodenACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2607	Farrer	ACT	FarrerACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2607	Isaacs	ACT	IsaacsACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2607	Mawson	ACT	MawsonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2607	Pearce	ACT	PearceACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2609	Campbell Park	ACT	Campbell ParkACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2609	Fyshwick	ACT	FyshwickACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2609	Majura	ACT	MajuraACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2609	Molonglo Mall	ACT	Molonglo MallACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2609	Mount Majura	ACT	Mount MajuraACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2609	Paragon Mall	ACT	Paragon MallACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2609	Pialligo	ACT	PialligoACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2609	Torrens	ACT	TorrensACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Brindabella	ACT	BrindabellaACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Casuarina Sands	ACT	Casuarina SandsACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Chapman	ACT	ChapmanACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Coppins Crossing	ACT	Coppins CrossingACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Coree	ACT	CoreeACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Cotter River	ACT	Cotter RiverACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Duffy	ACT	DuffyACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Fisher	ACT	FisherACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Flints Crossing	ACT	Flints CrossingACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Holder	ACT	HolderACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Mount Stromlo	ACT	Mount StromloACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Rivett	ACT	RivettACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Stirling	ACT	StirlingACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Symonston	ACT	SymonstonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Uriarra	ACT	UriarraACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Uriarra Crossing	ACT	Uriarra CrossingACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Waramanga	ACT	WaramangaACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2611	Weston	ACT	WestonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
